Date : 2020-03-18 11:04:00
Directory : c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\
Total : 230 files,  39840 codes, 248 comments, 2945 blanks, all 43033 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\my-pages\databases                                                                                                                                                                                           |          2 |         93 |         15 |         18 |        126 |
| src\my-pages\panel-creation                                                                                                                                                                                      |          4 |        119 |          1 |         20 |        140 |
| src\my-pages\panel-creation\metrics-selection                                                                                                                                                                    |          2 |         94 |          1 |         14 |        109 |
| src\my-pages\panel-creation\visualization-settings                                                                                                                                                               |          2 |         25 |          0 |          6 |         31 |
| src\my-pages\stepper                                                                                                                                                                                             |          6 |        307 |          0 |         34 |        341 |
| src\my-pages\stepper\first-step                                                                                                                                                                                  |          2 |         95 |          0 |         11 |        106 |
| src\my-pages\stepper\second-step                                                                                                                                                                                 |          2 |        112 |          0 |         11 |        123 |
| src\my-pages\stepper\third-step                                                                                                                                                                                  |          2 |        100 |          0 |         12 |        112 |
| src\scss                                                                                                                                                                                                         |          5 |         17 |          9 |         10 |         36 |
| src\scss\vendors                                                                                                                                                                                                 |          1 |          3 |          1 |          1 |          5 |
| src\services                                                                                                                                                                                                     |         20 |        770 |         26 |         72 |        868 |
| src\services\redux                                                                                                                                                                                               |         19 |        750 |         20 |         63 |        833 |
| src\services\redux\actions                                                                                                                                                                                       |          9 |        351 |         16 |         40 |        407 |
| src\services\redux\reducers                                                                                                                                                                                      |          9 |        356 |          3 |         19 |        378 |
| src\services\redux\store                                                                                                                                                                                         |          1 |         43 |          1 |          4 |         48 |
| src\settings                                                                                                                                                                                                     |          1 |          7 |          0 |          0 |          7 |
| src\views                                                                                                                                                                                                        |        128 |     14,275 |         35 |      1,553 |     15,863 |
| src\views\Base                                                                                                                                                                                                   |         52 |      4,643 |          0 |        196 |      4,839 |
| src\views\Base\Breadcrumbs                                                                                                                                                                                       |          3 |         62 |          0 |          6 |         68 |
| src\views\Base\Cards                                                                                                                                                                                             |          3 |        422 |          0 |         12 |        434 |
| src\views\Base\Carousels                                                                                                                                                                                         |          3 |        125 |          0 |         16 |        141 |
| src\views\Base\Collapses                                                                                                                                                                                         |          3 |        291 |          0 |         21 |        312 |
| src\views\Base\Dropdowns                                                                                                                                                                                         |          3 |        195 |          0 |          9 |        204 |
| src\views\Base\Forms                                                                                                                                                                                             |          3 |      1,198 |          0 |         11 |      1,209 |
| src\views\Base\Jumbotrons                                                                                                                                                                                        |          3 |         67 |          0 |          7 |         74 |
| src\views\Base\ListGroups                                                                                                                                                                                        |          3 |        248 |          0 |         10 |        258 |
| src\views\Base\Navbars                                                                                                                                                                                           |          3 |        125 |          0 |         10 |        135 |
| src\views\Base\Navs                                                                                                                                                                                              |          3 |        177 |          0 |          9 |        186 |
| src\views\Base\Paginations                                                                                                                                                                                       |          3 |        188 |          0 |          7 |        195 |
| src\views\Base\Popovers                                                                                                                                                                                          |          3 |        113 |          0 |         14 |        127 |
| src\views\Base\ProgressBar                                                                                                                                                                                       |          3 |        177 |          0 |          7 |        184 |
| src\views\Base\Switches                                                                                                                                                                                          |          3 |        497 |          0 |         15 |        512 |
| src\views\Base\Tables                                                                                                                                                                                            |          3 |        398 |          0 |         13 |        411 |
| src\views\Base\Tabs                                                                                                                                                                                              |          3 |        201 |          0 |         12 |        213 |
| src\views\Base\Tooltips                                                                                                                                                                                          |          3 |        139 |          0 |         14 |        153 |
| src\views\Buttons                                                                                                                                                                                                |         13 |      1,539 |          0 |         38 |      1,577 |
| src\views\Buttons\BrandButtons                                                                                                                                                                                   |          3 |        333 |          0 |          9 |        342 |
| src\views\Buttons\ButtonDropdowns                                                                                                                                                                                |          3 |        308 |          0 |         11 |        319 |
| src\views\Buttons\ButtonGroups                                                                                                                                                                                   |          3 |        210 |          0 |         10 |        220 |
| src\views\Buttons\Buttons                                                                                                                                                                                        |          3 |        681 |          0 |          6 |        687 |
| src\views\Charts                                                                                                                                                                                                 |          3 |        268 |          0 |         13 |        281 |
| src\views\Dashboard                                                                                                                                                                                              |          3 |      1,085 |         24 |         50 |      1,159 |
| src\views\Icons                                                                                                                                                                                                  |         13 |      4,916 |          0 |      1,070 |      5,986 |
| src\views\Icons\CoreUIIcons                                                                                                                                                                                      |          3 |        439 |          0 |          7 |        446 |
| src\views\Icons\Flags                                                                                                                                                                                            |          3 |      1,034 |          0 |          6 |      1,040 |
| src\views\Icons\FontAwesome                                                                                                                                                                                      |          3 |      2,853 |          0 |        866 |      3,719 |
| src\views\Icons\SimpleLineIcons                                                                                                                                                                                  |          3 |        583 |          0 |        189 |        772 |
| src\views\Notifications                                                                                                                                                                                          |         10 |        484 |          0 |         44 |        528 |
| src\views\Notifications\Alerts                                                                                                                                                                                   |          3 |        154 |          0 |         10 |        164 |
| src\views\Notifications\Badges                                                                                                                                                                                   |          3 |         99 |          0 |          6 |        105 |
| src\views\Notifications\Modals                                                                                                                                                                                   |          3 |        225 |          0 |         26 |        251 |
| src\views\Pages                                                                                                                                                                                                  |         13 |        289 |          0 |         35 |        324 |
| src\views\Pages\Login                                                                                                                                                                                            |          3 |        108 |          0 |         16 |        124 |
| src\views\Pages\Page404                                                                                                                                                                                          |          3 |         47 |          0 |          6 |         53 |
| src\views\Pages\Page500                                                                                                                                                                                          |          3 |         47 |          0 |          6 |         53 |
| src\views\Pages\Register                                                                                                                                                                                         |          3 |         80 |          0 |          6 |         86 |
| src\views\Theme                                                                                                                                                                                                  |          7 |        364 |          4 |         25 |        393 |
| src\views\Theme\Colors                                                                                                                                                                                           |          3 |        181 |          4 |         15 |        200 |
| src\views\Theme\Typography                                                                                                                                                                                       |          3 |        178 |          0 |          9 |        187 |
| src\views\Users                                                                                                                                                                                                  |          6 |        158 |          0 |         26 |        184 |
| src\views\Widgets                                                                                                                                                                                                |          7 |        463 |          7 |         52 |        522 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                         | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\.editorconfig                                                                                                     | Properties       |         11 |          1 |          3 |         15 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\CHANGELOG.md                                                                                                      | Markdown         |        417 |          0 |         60 |        477 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\CONTRIBUTING.md                                                                                                   | Markdown         |        118 |          0 |         55 |        173 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\CRA.md                                                                                                            | Markdown         |      1,676 |          1 |        797 |      2,474 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\ISSUE_TEMPLATE.md                                                                                                 | Markdown         |         13 |          0 |          8 |         21 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\REACT.md                                                                                                          | Markdown         |         34 |          0 |          8 |         42 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\README.md                                                                                                         | Markdown         |        124 |          0 |         54 |        178 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\package-lock.json                                                                                                 | JSON             |     19,562 |          0 |          1 |     19,563 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\package.json                                                                                                      | JSON             |         68 |         10 |          0 |         78 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\public\index.html                                                                                                 | HTML             |         30 |         51 |          3 |         84 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\public\manifest.json                                                                                              | JSON             |         15 |          0 |          1 |         16 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\App.js                                                                                                        | JavaScript       |         29 |          3 |          8 |         40 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\App.scss                                                                                                      | SCSS             |          5 |          6 |          2 |         13 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\App.test.js                                                                                                   | JavaScript       |          7 |          0 |          3 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\_nav.js                                                                                                       | JavaScript       |        309 |          0 |          1 |        310 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\assets\img\brand\logo.svg                                                                                     | XML              |         43 |          1 |          1 |         45 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\assets\img\brand\sygnet.svg                                                                                   | XML              |         16 |          1 |          1 |         18 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\DefaultAside.js                                                                      | JavaScript       |        296 |          1 |         21 |        318 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\DefaultFooter.js                                                                     | JavaScript       |         20 |          1 |          8 |         29 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\DefaultHeader.js                                                                     | JavaScript       |         73 |          1 |         10 |         84 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\DefaultLayout.js                                                                     | JavaScript       |         83 |          2 |          8 |         93 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\__tests__\DefaultAside.test.js                                                       | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\__tests__\DefaultFooter.test.js                                                      | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\__tests__\DefaultHeader.test.js                                                      | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\__tests__\DefaultLayout.test.js                                                      | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\index.js                                                                             | JavaScript       |          2 |          0 |          2 |          4 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\DefaultLayout\package.json                                                                         | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\containers\index.js                                                                                           | JavaScript       |          2 |          0 |          2 |          4 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\index.js                                                                                                      | JavaScript       |         12 |          4 |          3 |         19 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\index.scss                                                                                                    | SCSS             |          6 |          0 |          0 |          6 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\board\board.jsx                                                                                 | JavaScript React |         24 |          0 |          6 |         30 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\board\board.scss                                                                                | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\card\card.jsx                                                                                   | JavaScript React |         25 |          0 |          7 |         32 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\card\card.scss                                                                                  | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\create-query-form\create-query-form.jsx                                                         | JavaScript React |         83 |          0 |          7 |         90 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\create-query-form\create-query-form.scss                                                        | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\drag-and-drop\drag-and-drop.jsx                                                                 | JavaScript React |        110 |          0 |         17 |        127 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\drag-and-drop\drag-and-drop.scss                                                                | SCSS             |         39 |          2 |          5 |         46 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\graph-visualization-settings\graph-visualization-settings.jsx            | JavaScript React |         82 |          2 |          7 |         91 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\graph-visualization-settings\graph-visualization-settings.scss           | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\singlestat-visualization-settings\singlestat-visualization-settings.jsx  | JavaScript React |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\singlestat-visualization-settings\singlestat-visualization-settings.scss | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-metrics\all-metrics.jsx                                                                          | JavaScript React |         76 |          2 |          9 |         87 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-metrics\all-metrics.scss                                                                         | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-panels\all-panels.jsx                                                                            | JavaScript React |         63 |          0 |          9 |         72 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-panels\all-panels.scss                                                                           | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboard-creation\dashboard-creation.jsx                                                            | JavaScript React |         33 |         11 |          4 |         48 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboard-creation\dashboard-creation.scss                                                           | SCSS             |         24 |          0 |          1 |         25 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboards\dashboards.jsx                                                                            | JavaScript React |         63 |          0 |         11 |         74 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboards\dashboards.scss                                                                           | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-creation\database-creation.jsx                                                              | JavaScript React |         67 |          0 |          7 |         74 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-creation\database-creation.scss                                                             | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboard\database-dashboard.jsx                                                            | JavaScript React |        106 |          1 |          9 |        116 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboard\database-dashboard.scss                                                           | SCSS             |         19 |          3 |          1 |         23 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboards\database-dashboards.jsx                                                          | JavaScript React |         70 |          0 |          5 |         75 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboards\database-dashboards.scss                                                         | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-metrics\database-metrics.jsx                                                                | JavaScript React |         62 |          2 |          8 |         72 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-metrics\database-metrics.scss                                                               | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-panels\database-panels.jsx                                                                  | JavaScript React |         66 |          0 |          8 |         74 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-panels\database-panels.scss                                                                 | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\databases\databases.jsx                                                                              | JavaScript React |         93 |         15 |         17 |        125 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\databases\databases.scss                                                                             | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\metrics-selection\metrics-selection.jsx                                               | JavaScript React |         94 |          1 |         13 |        108 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\metrics-selection\metrics-selection.scss                                              | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\visualization-settings\visualization-settings.jsx                                     | JavaScript React |         25 |          0 |          5 |         30 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\visualization-settings\visualization-settings.scss                                    | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\first-step\first-step.jsx                                                                    | JavaScript React |         80 |          0 |          8 |         88 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\first-step\first-step.scss                                                                   | SCSS             |         15 |          0 |          3 |         18 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\second-step\second-step.jsx                                                                  | JavaScript React |        112 |          0 |         10 |        122 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\second-step\second-step.scss                                                                 | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\third-step\third-step.jsx                                                                    | JavaScript React |        100 |          0 |         11 |        111 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\third-step\third-step.scss                                                                   | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\polyfill.js                                                                                                   | JavaScript       |         13 |         25 |          9 |         47 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\routes.js                                                                                                     | JavaScript       |        110 |          1 |          9 |        120 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\_custom.scss                                                                                             | SCSS             |          0 |          1 |          1 |          2 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\_ie-fix.scss                                                                                             | SCSS             |          9 |          1 |          2 |         12 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\_variables.scss                                                                                          | SCSS             |          0 |          1 |          1 |          2 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\style.scss                                                                                               | SCSS             |          5 |          5 |          5 |         15 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\vendors\_variables.scss                                                                                  | SCSS             |          3 |          1 |          1 |          5 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\serviceWorker.js                                                                                              | JavaScript       |         85 |         30 |         13 |        128 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\backend-urls.js                                                                                      | JavaScript       |         20 |          6 |          9 |         35 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\dashboards-actions.js                                                                  | JavaScript       |         71 |          3 |          7 |         81 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\databases-actions.js                                                                   | JavaScript       |         60 |          3 |          7 |         70 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\dbTables-actions.js                                                                    | JavaScript       |         27 |          1 |          3 |         31 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\metrics-actions.js                                                                     | JavaScript       |         68 |          3 |          7 |         78 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\panel-actions.js                                                                       | JavaScript       |         66 |          3 |          7 |         76 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\queryData-actions.js                                                                   | JavaScript       |          0 |          0 |          1 |          1 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\tempPanelOptions-actions.js                                                            | JavaScript       |         14 |          1 |          1 |         16 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\tempProperties-actions.js                                                              | JavaScript       |         14 |          1 |          2 |         17 |
